Month,Log Ret EP,d/p,e/p,b/m,ntis,d/e,tbl,dfy,tms
194212,0.050061297,-2.806949208,-2.249757664,0.862646566,0.001970714,-0.557191544,0.0038,0.0147,0.0208
194301,0.068880942,-2.876146767,-2.306096504,0.821306116,0.002039672,-0.570050263,0.0038,0.0137,0.0207
194302,0.049064631,-2.925528015,-2.342772819,0.7940791,0.002563206,-0.582755196,0.0038,0.0131,0.0208
194303,0.051067583,-2.976912214,-2.381620824,0.783480999,0.001794763,-0.595291391,0.0038,0.0125,0.0209
194304,0.000546569,-2.977775399,-2.373181616,0.78978447,0.001126343,-0.604593783,0.0038,0.012,0.0208
194305,0.043572284,-3.0216643,-2.407853861,0.757897719,0.000978084,-0.613810438,0.0038,0.0117,0.0206
194306,0.019307889,-3.041288805,-2.418345883,0.746268657,0.001183578,-0.622942922,0.0038,0.0116,0.0206
194307,-0.056094702,-2.979877464,-2.368649892,0.779599271,0.012467756,-0.611227571,0.0038,0.0112,0.0207
194308,0.009904938,-2.984495642,-2.384981557,0.783194261,0.014610457,-0.599514084,0.0038,0.0112,0.0207
194309,0.023135044,-3.002376816,-2.414590151,0.763631173,0.01452967,-0.587786665,0.0038,0.0114,0.0208
194310,-0.013650147,-2.983503658,-2.445431065,0.773736351,0.017477102,-0.538072593,0.0038,0.0112,0.0209
194311,-0.078822474,-2.899487042,-2.413134486,0.825808443,0.019713817,-0.486352556,0.0038,0.0112,0.021
194312,0.056993026,-2.951317768,-2.51889685,0.787401575,0.01535659,-0.432420918,0.0038,0.0108,0.021
194401,0.014989805,-2.961175128,-2.537755317,0.77874818,0.017168931,-0.423419811,0.0038,0.0104,0.021
194402,-0.002851472,-2.953219121,-2.538786241,0.785033015,0.017361406,-0.41443288,0.0038,0.0098,0.0209
194403,0.016462301,-2.96460773,-2.559142622,0.813886488,0.017220508,-0.405465108,0.0038,0.0096,0.0209
194404,-0.012874337,-2.946688601,-2.55017521,0.829601351,0.018040483,-0.396513391,0.0038,0.0094,0.021
194405,0.039325238,-2.980996043,-2.593421393,0.794431946,0.016324338,-0.38757465,0.0038,0.009,0.0209
194406,0.049437032,-3.025445171,-2.64679132,0.761558161,0.016226833,-0.378653851,0.0038,0.0086,0.021
194407,-0.021337243,-2.999148014,-2.633043818,0.773389912,0.006536863,-0.366104196,0.0038,0.0085,0.0209
194408,0.00830075,-3.002514975,-2.648986492,0.76875978,0.006260568,-0.353528482,0.0038,0.0084,0.0209
194409,-0.003441619,-2.994168552,-2.653241965,0.772332718,0.007000866,-0.340926587,0.0038,0.0084,0.0209
194410,-0.000316617,-2.994168552,-2.642192128,0.771173139,0.004704844,-0.351976423,0.0038,0.0083,0.0209
194411,0.003588113,-2.998073281,-2.635167788,0.766985678,0.003966345,-0.362905494,0.0038,0.0081,0.0209
194412,0.034156349,-3.032546247,-2.658829837,0.743763575,0.010117414,-0.37371641,0.0038,0.0079,0.0208
194501,0.01388923,-3.041557794,-2.662340394,0.735341967,0.010251349,-0.3792174,0.0038,0.0077,0.0202
194502,0.05947793,-3.096183337,-2.711552832,0.704488778,0.009120931,-0.384630506,0.0038,0.0076,0.0198
194503,-0.047569501,-3.043789569,-2.653828647,0.767882643,0.009985264,-0.389960922,0.0038,0.0076,0.0198
194504,0.084002969,-3.128109154,-2.724355253,0.715062863,0.00948951,-0.403753901,0.0038,0.0075,0.019
194505,0.011073791,-3.139499562,-2.722139328,0.702911468,0.013888813,-0.417360234,0.0038,0.007,0.0188
194506,-0.00365329,-3.136162889,-2.705379973,0.718843046,0.014163769,-0.430782916,0.0038,0.0068,0.0179
194507,-0.020573893,-3.110791022,-2.688461263,0.726301572,0.015012599,-0.422329759,0.0038,0.0066,0.0186
194508,0.056045664,-3.162063215,-2.748174301,0.678753801,0.012979158,-0.413888915,0.0038,0.0065,0.0185
194509,0.040737459,-3.198054497,-2.792589389,0.656820832,0.011872323,-0.405465108,0.0038,0.0062,0.0183
194510,0.029554547,-3.22792566,-2.832612924,0.63397642,0.013045091,-0.395312737,0.0038,0.0058,0.0178
194511,0.031600986,-3.259843263,-2.874787027,0.617883631,0.013676533,-0.385056236,0.0038,0.0053,0.0172
194512,0.009524273,-3.269684153,-2.894990704,0.613239334,0.020959882,-0.374693449,0.0038,0.0049,0.0161
194601,0.06706205,-3.327011983,-2.983422779,0.578003616,0.024287506,-0.343589204,0.0038,0.0047,0.0161
194602,-0.072314229,-3.245065036,-2.932931372,0.622336788,0.02704032,-0.312133663,0.0038,0.0047,0.016
194603,0.044939975,-3.280468836,-3.000166871,0.614852676,0.027944614,-0.280301965,0.0038,0.0047,0.016
194604,0.036603972,-3.317389424,-3.059560315,0.593412971,0.028213521,-0.257829109,0.0038,0.005,0.0169
194605,0.021824509,-3.33953055,-3.104690959,0.578010175,0.029383488,-0.234839591,0.0038,0.0051,0.0171
194606,-0.040204914,-3.299642252,-3.088333159,0.596731835,0.03033119,-0.211309094,0.0038,0.0054,0.0168
194607,-0.026149325,-3.268920046,-3.042853064,0.608751736,0.036291671,-0.226066983,0.0038,0.0055,0.0171
194608,-0.076053463,-3.188316037,-2.947848569,0.648554363,0.040040483,-0.240467468,0.0038,0.0052,0.0179
194609,-0.10734686,-3.076443654,-2.821913789,0.711634381,0.045376468,-0.254529865,0.0038,0.0052,0.0181
194610,-0.008370351,-3.058773982,-2.752134122,0.725391664,0.044808398,-0.30663986,0.0038,0.0055,0.0178
194611,-0.011838262,-3.037729407,-2.682480124,0.722699965,0.044099235,-0.355249283,0.0038,0.0058,0.0182
194612,0.04173162,-3.070343137,-2.66958392,0.692437923,0.053595826,-0.400759217,0.0038,0.0056,0.0174
194701,0.022940246,-3.088916617,-2.628892058,0.680004434,0.048217711,-0.46002456,0.0038,0.0056,0.0176
